Name,Location,Habitat,Colors,Size(m),Lifestyle,Mobility
Adelie Penguin, , Antarctic land-ocean, Black with white chest, 0.40-0.75, daytime,fins-two legs
Affenpinscher, Germany, domestic , Black-Grey, 0.25, ,four legs
Afghan Hound, Afghanistan, domestic, Black-White-Brown-Yellow, 0.68, ,four legs
African Elephant, , Forest-savannah-river, Grey-Brown, 2-3.5, daytime, four legs
African Civet, , Tropical rainforest, Black-White-Grey-Yellow-Brown-Beige, 0.43-0.71, Nocturnal, four legs
African Clawed Frog, , Warm stagnant water with grassland, Brown-Grey-Albino, 0.025-0.12, Nocturnal, four legs-two legs
African Palm Civet, , Tropical rainforest, Black-White-Grey-Yellow-Brown-Beige, 0.43-0.71, twilight,  four legs
African Penguin, , Mountain-saltwater, Black-White-Grey, 0.60-0.68, daytime,two legs
african tree toad, , tropical rainforest, Brown-Black-White-Beige, 0.025-0.038, Nocturnal,four legs-two legs
Ainu Dog, Japan, domestic, Grey-Beige-Brown-White, 0.50, , four legs
Airedale Terrier, Great Britain, domestic, Black-Beige-Brown, 0.58, ,four legs
Akbash, Turkey, domestic , White-Brown, 0.86, , four legs
Akita, Japan, domestic , Brown-White-Black-Grey,0.86 , , four legs
Alaskan Malamute, North America, domestic, White-Black-Grey, 0.63, , four legs
Albatross, , saltwater-tropical islands, Black-White-Brown-Red-Yellow, 0.9-1.3, daytime, wings-two legs
Aldabra Giant Tortoise, , grassland-swamp, Black-Brown-Beige, 0.90-1.20, daytime, four legs
Alligator, , swamp, Green-Grey-Black-Brown-Yellow, 0.5-4.5m, daytime-Nocturnal, four legs-tail
Alpine Dachsbracke, Austria, domestic , Red-Black-Brown, 0.35, , four legs
American Bulldog, North America,domestic, White-Black-Red-Brown-Beige, 0.63, , four legs
American Cocker Spaniel, North America, domestic, White-Black-Brown-Beige-Grey-Red, , , four legs
American Coonhound, North America, domestic , Black-Beige-Brown-White, 0.70, , four legs
American Eskimo Dog, Germany, domestic , White, , , four legs
American Foxhound, North America, domestic, Black-White-Beige, 0.63, , four legs
American Pit Bull Terrier, North America, domestic, Black-White-beige-Brown, , , four legs
American Staffordshire Terrier, North America, domestic , Black-White-Beige-Brown, , , four legs
American Water Spaniel, North America, domestic, Black-Brown, , , four legs
Anatolian Shepherd Dog, North America, domestic, Red-Brown-White, , , four legs
Angelfish, Southern Hemisphere, river-saltwater, Black-White-Yellow-Orange-Purple-Silver-Blue-Green, 0.07-0.30, ,fins-tail
Ant, , forest-grassland-savanna, Brown-Black-Red, 0.002-0.025, ,many legs
anteater, , Forest-grassland, Brown-Grey-Black-beige, 0.9m-2.1m, , four legs
antelope, , Forest-grassland, Brown-Red-beige, 1m-1.5m, , four legs
Appenzeller Dog, Switzerland, domestic , Black-beige-White, , , four legs
arctic fox, , Polar regions, White-Black-Grey, 0.70-1.10, ,
arctic hare, , Tundra-mountains, White-Grey, 0.48-0.67m, ,four legs
arctic wolf, , Grassland-tundra, White-Grey, 0.60-1, ,four legs
armadillo, , decidious forest-grassland, Pink-Grey-Black,0.36-0.75, ,four legs
Asian Giant Hornet, , decidious forest, Black-Brown-Red-Orange-Yellow, 0.027-0.055, daytime,wings
asian palm civet, , Tropical rainforest, Black-White-Grey-Yellow-Brown-beige, 0.43-0.71, , four legs
Asiatic Black Bear, , Pine Forest-Deciduous Forest, Black-Brown-White, 1.2-1.9, Nocturnal, four legs
Australian Cattle Dog, Australia, domestic, Grey-Red-Black, , , four legs
Australian Kelpie Dog, Australia, domestic, beige-Red-Black-Brown, , , four legs
Australian Mist, Australia, domestic, Brown-Yellow-Beige, , , four legs
Australian Shepherd, North America, domestic , beige-Red-Black-Brown-Grey, , , four legs
Australian Terrier, Australia, domestic, beige-Yellow-Black, , , four legs
avocet, ,wetlands, White-Black, 0.42-0.45, , two legs-wings
axolotl, , lakes-river, Black-White-Pink-Grey-Brown, 0.15-0.45, ,four legs-tail-fins
Aye Aye, , tropical rainforest, Black-Brown, 0.30-0.40, Nocturnal, four legs
Baboon, , Grassland-tropical rainforest, Yellow-Grey-Silver-Brown-Black, .5-.86, daytime,arms-two legs
bactrian camel, , Deserts, Brown-beige, 1.7-2.1, daytime, four legs
badger, , deciduous forest-grassland, Brown-Black-White, .4-.75, nocturnal,four legs
Balinese, North America, domestic, Brown-Black,.4-.5, ,four legs
banded palm civet, , Tropical rainforest, Black-White-Grey-Brown-beige, .43-.71, ,four legs
bandicoot, , tropical rainforest, Grey-Black-White-Brown-beige-yellow, .28-.81, , tail
Barb, Asia, river, Black-White-Yellow-Orange-Red-Silver, .025-.07, ,fins-tail
barn owl, , grassland-deciduous forest, Black-White-Grey-Orange-Brown, .25-.45, nocturnal, wings
Barnacle, Worldwide, saltwater, Black-White-Yellow, .01-.07, ,none
Barracuda, Oceans worldwide, saltwater, Grey-Blue-Black-Brown, 0.5-2, ,fins-tail
Basenji Dog, Zaire, domestic, Brown-beige-Black-White-yellow, , ,four legs
Basking Shark, Atlantic and Pacific Oceans, saltwater, Grey-Black-Brown, 6-12, ,fins-tail
Basset Hound Dog, Great Britain, domestic, beige-White-Red-Brown-Black, , ,four legs
bat, , Woodland-caves, Brown-Black-Grey, 0.03-1.80, nocturnal,wings
Bavarian Mountain Hound, Germany, , beige-Brown-Black, , ,four legs
Beagle Dog, Great Britain, domestic, beige-White-Red-Brown-Black, , ,four legs
