name,diet,location,habitat,colors,lifestyle
gorilla,herbivore,africa,tropical forest,black,daytime
gorilla,herbivore,africa,tropical forest,brown,daytime
gorilla,,africa,tropical forest,black,daytime
bat,bugs,,forests,black,nocturnal
bat,herbivore,canada,forests,black,nocturnal
bat,bugs,france,forests,black,nocturnal
dolphin,fish,open waters,salt water,grey,daytime
dolphin,fish,open waters,salt water,blue,daytime
dolphin,fish,open waters,salt water,grey-blue,daytime
goose,fish,canada,lakes,black-white-orange,daytime
goose,fish,usa,lakes,brown-white,daytime
goose,fish,usa,lakes,brown,daytime
